Taxa and Samples,1686.HMPMockV1.1.Even1.673832,1686.HMPMockV1.2.Staggered1.673834,1686.HMPMockV1.2.Staggered2.673833,1686.HMPMockV1.1.Even2.673831
26608,1,0,0,0
925494,0,1,0,0
325763,0,1,1,0
673010,0,0,2,0
981783,1,1,0,0
4467992,38,1,0,46
4454356,35,4,7,26
1081058,178,445,616,193
1061772,171,0,2,195
1944498,4,0,0,5
555970,20,5,6,16
4358507,0,0,1,0
4483006,10238,8263,11170,10664
925397,1,0,0,0
4343580,10,0,0,5
344703,2,1,1,3
4354311,74,34,42,113
1141646,0,1,0,0
4343213,34,12,17,49
701818,0,1,0,0
993647,1,0,0,0
4454531,55,388,740,58
572882,7,9,9,4
1934562,1,0,0,0
238205,52,48,50,47
797229,11,66,72,13
544334,8,7,8,9
4335436,0,5,1,0
4377731,0,0,0,1
4357811,43,0,0,63
549756,5,0,0,7
4367474,0,0,0,1
4438983,3,47,51,8
274087,0,1,0,0
142429,15,9,10,22
2497305,9,0,0,7
4355718,14,2,0,17
350242,3,0,1,5
923151,772,1395,1867,800
4014120,450,827,1067,517
648854,0,1,0,0
67813,1,0,0,0
23149,0,0,0,1
236142,0,0,1,0
4453060,17,0,0,24
870118,1,1,6,2
1028632,18,146,245,21
4290143,0,0,0,1
4389529,117833,6879,9465,105941
820202,1244,2238,2881,1257
295146,1,0,0,0
4457129,0,0,0,1
326116,0,1,0,1
906051,0,0,0,1
4358566,0,0,1,0
1126851,2,2,4,2
4458775,0,0,1,0
73609,3,0,0,4
4454317,1,2,1,2
4479405,0,0,1,0
181589,1,2,3,1
4471122,16542,1093,1670,17739
1071699,6,2,7,2
398980,0,1,0,0
4369878,0,0,0,1
4393745,3,0,0,2
678790,20,19,28,26
566243,2,30,42,3
938794,1,0,0,0
528952,3,2,6,4
4435194,35,22,25,44
4407305,5,5,6,10
4315958,10762,75504,103707,11433
849440,2292,36488,49400,2653
4345285,0,1,0,0
132837,31,5,1,57
1145250,1,0,0,1
1063810,12,21,20,9
95300,41,34,50,41
930555,0,0,2,0
1012358,9,39,29,5
917641,26,43,68,24
128227,1,1,0,0
199647,7,10,6,12
1097208,769,1308,1711,750
1058950,2,22,11,5
4407939,0,1,0,0
2264285,0,0,0,1
162668,5,0,0,8
4447394,90,3,9,79
961454,0,0,1,0
1843701,10,3,5,13
746873,3,15,35,2
1130435,0,1,1,0
197367,14,0,0,14
136025,1,0,0,0
15368,0,4,1,3
4344883,1,1,1,0
740305,0,1,0,4
3667183,1,0,0,0
757005,1,1,0,0
4478125,0,0,0,1
352034,44,0,0,32
989990,10,27,36,11
915428,36,87,113,48
114166,7,9,2,15
727134,0,0,1,0
4342458,11,12,16,16
4331760,0,1,0,0
4412540,0,2,0,0
1126217,1,1,0,1
206803,2,0,1,0
188887,1,0,0,3
4354477,7,75,109,10
4454737,0,1,0,0
4433823,0,1,0,0
4232045,3967,28,29,4373
4298480,16,13,16,11
4472202,1,0,0,0
701620,0,2,0,0
4438284,2,2,6,4
4467747,7,0,0,3
1039016,16,10,40,25
86,28,475,586,36
334459,0,1,1,0
329096,0,7,7,1
942245,0,1,0,0
540737,0,0,0,1
2018038,2,0,0,0
925707,3,0,0,6
4427114,306,462,603,443
434127,1,0,0,0
4369714,2,0,0,0
300689,7,0,4,3
4446058,325341,568035,725832,335081
1919007,286,10,13,339
4452632,6,4,9,17
2000709,10,97,133,9
59566,54,0,0,54
11080,72,5,6,80
1106060,1,0,0,0
4477028,0,0,0,1
17976,1,0,0,0
4381553,30,0,0,24
183571,0,1,1,0
489671,15,8,25,10
83643,0,3,0,0
142309,0,0,1,0
997942,15,25,36,15
4466597,1,0,0,0
810399,7,0,0,5
898871,3,8,10,3
4468125,3,1,0,0
4440404,13762,1195,1491,15277
242070,7,5,8,9
4459634,24,20,41,29
249748,2,3,3,1
224212,65,5,5,89
247036,1,0,0,0
4476548,0,0,4,0
128604,47031,576,668,55565
336710,43,1,0,40
4338750,0,1,0,0
979261,476,784,1015,504
1076316,8,7,17,10
4329215,37,286,339,46
354839,109,179,257,164
391326,0,0,2,0
300703,1,0,0,0
4469833,8,0,0,8
4467447,0,0,2,0
1084906,130,159,321,117
12574,8799,69,57,10151
948115,18,1,0,21
836394,1,0,2,1
4361727,32,0,1,65
539647,19,3,6,42
770475,0,0,0,2
2749126,0,16,12,1
1147446,3,5,2,0
3816676,0,1,0,0
4381875,0,0,1,0
567972,5,3,1,0
2202350,0,2,7,1
4336070,1,0,0,4
94705,2,0,0,1
943989,7,9,14,16
276834,0,0,0,1
495788,0,2,1,0
4307081,0,1,0,0
697578,8,0,5,5
167719,1,0,0,4
1020410,631,1525,1895,577
573061,5,35,39,6
4416988,10,0,1,5
1055132,155,264,341,141
347704,1,1,1,0
4450795,10,2,0,10
1000269,0,0,0,1
1005952,5,1,0,7
4130483,873,1241,1584,1016
4416113,3,39,36,4
219804,24,18,24,22
809991,2,0,0,0
831098,26,132,139,20
763733,5,3,3,3
4456933,0,1,0,0
4380971,16862,15345,20182,19523
3252211,3,5,10,1
495270,1,2,0,0
614083,1,0,0,0
144452,1,0,0,0
2959075,0,0,0,2
984924,140,244,315,158
4200918,0,0,0,1
4316928,69,3,5,95
184209,23,0,1,26
653394,0,0,2,0
790312,1,0,0,0
814670,2,0,0,1
50765,0,1,0,0
386899,35,77,96,41
219457,0,0,1,0
1765402,5,0,0,7
412145,10,6,4,19
132661,2,0,0,2
996487,825,1398,1654,783
36125,0,0,1,1
1069592,181,28,27,186
4448331,5557,41071,60170,6089
1112200,0,0,1,0
220149,17,31,29,14
4449054,0,0,3,0
183662,33,0,0,21
882780,0,0,1,0
398350,1,5,3,3
663573,1,42,32,8
2225203,2,1,0,1
532163,7877,61249,83969,7414
1113485,0,0,1,0
691423,0,2,2,0
292364,6,0,1,6
4339160,2,0,0,0
4454140,0,0,0,1
842598,0,5,7,0
221648,0,0,0,1
197398,0,0,1,0
4405100,1,0,0,5
641832,0,0,0,1
15129,6,1,0,6
4468234,23378,222,273,24434
1055824,11,24,29,10
4437024,3,0,1,9
4373337,0,0,0,1
939112,0,0,0,1
211706,38,0,0,36
399197,0,0,2,0
305561,14,0,0,10
931950,0,0,0,1
173212,1,0,1,0
17444,2,0,0,4
1108656,1,0,2,3
1105919,0,2,1,0
918932,41,89,73,33
562618,0,0,0,1
227083,134,311,379,166
4297549,10,0,1,6
4328104,2,0,0,0
1121111,13,12,14,21
444649,83,156,198,95
1951826,16,135,168,27
945865,6,14,23,11
1059977,16691,10770,14880,16179
863832,2,2,5,0
298954,0,0,1,0
470724,1,0,0,2
4455767,3,1,0,3
173969,0,0,1,0
4432154,20,1,0,17
890882,13,0,0,19
4477551,0,0,0,1
4412168,0,0,0,1
14903,0,1,0,0
4311177,4,1,5,1
190675,1,0,0,0
891599,0,0,1,0
872004,1,0,0,1
4387208,34,2,1,38
177150,8,0,0,5
3887769,9,0,0,4
295478,0,0,1,1
4362942,15,1,0,14
4411867,0,0,0,1
161423,2,0,0,1
552544,110,6,12,75
1054451,1,2,3,0
10952,16717,1321,1587,17036
4454529,20162,15064,21131,20890
4300152,0,4,5,0
1059655,24280,141,191,23470
877241,3,4,5,2
3890155,17,1,0,14
1102057,0,2,0,0
4375000,6,39,63,8
444962,31,18,29,26
14583,16,9,6,14
345951,2,10,17,1
787709,13,0,0,11
325918,7,0,1,4
2599028,32,2,1,51
730315,0,4,3,4
4359590,7135,134,110,7490
157428,0,0,2,0
3531225,3,27,39,6
4477696,0,3,0,0
535159,1,0,1,0
4477910,2,0,0,1
4338003,0,1,1,1
115186,2,0,1,2
4312974,49,98,99,40
4390403,0,0,0,1
284293,1,1,0,1
780261,1,0,1,0
4471854,1,0,0,0
4349934,0,0,0,2
92535,3,0,0,4
4482376,0,0,0,1
1814180,54,93,88,34
921399,20,41,68,20
1104963,7,3,9,2
538000,0,5,1,0
83705,0,1,0,0
1086805,86,30,16,111
4482598,0,2,0,0
614182,4,21,22,2
2084904,2,3,2,2
827497,2,0,0,0
2415144,10,0,0,6
804077,0,1,0,0
60325,6,0,0,13
4481131,0,0,1,0
960131,88,188,296,113
3867172,1,3,10,0
4479989,25,2,0,24
104313,17,7,7,5
4416763,0,0,1,0
919490,153,239,293,134
4377104,0,0,0,1
4390839,4,0,0,1
177991,1,0,0,0
767863,67,10,18,69
2783432,7,0,0,14
1079866,3,1,0,4
3355047,4,0,0,11
384716,4,18,6,5
1001007,12,25,32,16
1692906,2,2,0,2
553208,0,1,2,0
103132,1,0,0,1
2189086,0,1,0,0
919562,2,0,0,0
2513890,0,0,0,1
1052027,0,0,2,0
338845,0,0,0,5
977188,71,155,219,64
171559,12,0,0,6
152450,9,177,229,6
542754,0,0,0,1
441155,418,715,891,398
693231,39,14,11,50
511565,0,0,1,0
4310500,0,0,0,2
867304,0,0,1,0
4408227,0,0,0,2
4301065,2,0,0,0
572117,2,4,0,2
1129680,0,1,0,1
4111715,54,494,664,86
1068955,743,1215,1617,773
1148153,0,2,1,1
4428313,2094,146,247,2995
1117992,0,0,2,0
4297271,1,0,0,0
4417325,0,0,0,4
